여행나라,여행도시,목표날짜,종합점수,트렌드급상승,trend_score,weather_score,cost_score,festival_score,safety_modifier
프랑스,파리,2025-06-01,6.439491586108128,,3.7763713080168775,8.0,5.0,2,10.0
독일,뮌헨,2025-06-01,6.434693877551021,,2.6758087201125176,10.0,5.0,2,10.0
체코,프라하,2025-06-01,6.237414965986394,,2.1659634317862166,10.0,5.0,2,10.0
중국,장가계,2025-06-01,6.226566416040101,,4.518284106891702,8.0,10.0,0,10.0
일본,삿포로,2025-06-01,6.216326530612246,,6.50492264416315,10.0,6.0,0,10.0
중국,마카오,2025-06-01,6.15717866093806,,4.338959212376934,8.0,10.0,0,10.0
미국,올란도,2025-06-01,6.142212674543503,,6.884669479606188,8.0,0.0,2,10.0
독일,베를린,2025-06-01,6.106802721088435,,1.828410689170183,10.0,5.0,2,10.0
중국,상해,2025-06-01,6.0,,8.01336146272855,0.5,10.0,0,10.0
미국,시카고,2025-06-01,5.987755102040817,,5.3973277074542905,10.0,0.0,2,10.0
뉴질랜드,오클랜드,2025-06-01,5.960544217687076,급상승,0.6751054852320675,10.0,6.0,2,10.0
말레이시아,코타키나발루,2025-06-01,5.814321518080917,,3.452883263009845,8.0,10.0,0,10.0
일본,후쿠오카,2025-06-01,5.75717866093806,,6.406469760900141,8.0,6.0,0,10.0
필리핀,세부,2025-06-01,5.708915145005371,,4.2686357243319275,6.0,10.0,0,10.0
베트남,푸꾸옥,2025-06-01,5.658575008950949,,4.138537271448664,6.0,10.0,0,10.0
미국,샌프란시스코,2025-06-01,5.613605442176871,,4.430379746835443,10.0,0.0,2,10.0
대만,타이난,2025-06-01,5.566022198353026,,3.586497890295359,8.0,9.0,0,10.0
그리스,아테네,2025-06-01,5.511600429645544,,6.547116736990154,8.0,5.0,0,10.0
중국,북경,2025-06-01,5.4517006802721095,,6.59634317862166,0.5,10.0,0,10.0
튀르키예,이스탄불,2025-06-01,5.221654135338346,,5.748945147679326,8.0,10.0,2,6.0
네팔,카트만두,2025-06-01,5.102756892230577,급상승,1.6139240506329113,8.0,10.0,0,10.0
호주,브리즈번,2025-06-01,5.102756892230577,,4.715189873417722,8.0,6.0,0,10.0
미국,뉴욕,2025-06-01,5.066022198353027,,4.10337552742616,8.0,0.0,2,10.0
영국,에든버러,2025-06-01,5.063265306122449,,4.30028129395218,10.0,5.0,0,10.0
스위스,제네바,2025-06-01,4.802076620121733,,4.4549929676511955,8.0,2.0,1,10.0
스페인,그라나다,2025-06-01,4.691192266380238,,4.426863572433193,8.0,5.0,0,10.0
프랑스,베르사유,2025-06-01,4.64421768707483,,3.217299578059072,10.0,5.0,0,10.0
미국,로스엔젤레스,2025-06-01,4.599355531686359,,2.8973277074542896,8.0,0.0,2,10.0
태국,크라비,2025-06-01,4.578947368421052,급상승,0.26019690576652604,8.0,10.0,0,10.0
덴마크,코펜하겐,2025-06-01,4.57265306122449,,2.2749648382559773,10.0,2.0,2,8.5
멕시코,멕시코시티,2025-06-01,4.5397243107769425,,4.813642756680731,8.0,0.0,2,8.5
브라질,상파울루,2025-06-01,4.119928392409595,,3.5372714486638532,8.0,0.0,2,8.5
그리스,산토리니,2025-06-01,4.036770497672753,,2.735583684950773,8.0,5.0,0,10.0
뉴질랜드,퀸스타운,2025-06-01,4.002721088435375,,0.7841068917018283,10.0,6.0,0,10.0
아이슬란드,레이캬비크,2025-06-01,3.9816326530612245,급상승,1.5049226441631505,10.0,5.0,0,10.0
인도,뭄바이,2025-06-01,3.4093125671321163,,5.049226441631505,6.0,0.0,1,8.5
멕시코,칸쿤,2025-06-01,3.4087039026136776,,6.543600562587905,8.0,0.0,0,8.5
몰디브,말레,2025-06-01,3.399355531686359,,4.964838255977496,8.0,0.0,0,10.0
브라질,리우데자네이루,2025-06-01,3.3381596849266026,급상승,1.160337552742616,8.0,0.0,2,8.5
미국,호놀룰루,2025-06-01,3.238811313999284,,4.549929676511955,8.0,0.0,0,10.0
세르비아,베오그라드,2025-06-01,3.0347296813462235,,1.438115330520394,8.0,0.0,1,10.0
스리랑카,콜롬보,2025-06-01,2.8501324740422485,,2.260900140646976,8.0,0.0,1,8.5
대만,타이페이,2025-06-01,0.8612280701754387,,6.290436005625879,8.0,9.0,2,1.0
괌,괌,2025-06-01,0.2981023988542786,,4.971870604781997,6.0,0.0,0,1.0
네덜란드,오슬로,2025-06-01,0.27265306122448985,,5.755977496483825,0.5,2.0,0,1.0
벨기에,브뤼쉘,2025-06-01,0.10277876475178417,,2.9163991593727623,0.5,0.0,0,1.0
